598	5	5B2241222C2242222C2243222C2244222C2245222C2246222C2247222C2248222C2249222C224A222C224B222C224C222C224D222C224E222C224F222C2250225D
599	11	5B2241222C2242222C2243222C2244222C2245222C2246222C2247222C2248222C2249222C224A222C224B222C224C222C224D222C224E222C224F222C2250225D
600	0	5B2241222C2242222C2243222C2244222C2245222C2246222C2247222C2248222C2249222C224A222C224B222C224C222C224D222C224E222C224F222C2250225D
601	7	5B2241222C2242222C2243222C2244222C2245222C2246222C2247222C2248222C2249222C224A222C224B222C224C222C224D222C224E222C224F222C2250225D
602	14	5B2241222C2242222C2243222C2244222C2245222C2246222C2247222C2248222C2249222C224A222C224B222C224C222C224D222C224E222C224F222C2250225D
603	4	5B2241222C2242222C2243222C2244222C2245222C2246222C2247222C2248222C2249222C224A222C224B222C224C222C224D222C224E222C224F222C2250225D
604	10	5B2241222C2242222C2243222C2244222C2245222C2246222C2247222C2248222C2249222C224A222C224B222C224C222C224D222C224E222C224F222C2250225D
605	12	5B2241222C2242222C2243222C2244222C2245222C2246222C2247222C2248222C2249222C224A222C224B222C224C222C224D222C224E222C224F222C2250225D
606	2	5B2241222C2242222C2243222C2244222C2245222C2246222C2247222C2248222C2249222C224A222C224B222C224C222C224D222C224E222C224F222C2250225D
607	8	5B2241222C2242222C2243222C2244222C2245222C2246222C2247222C2248222C2249222C224A222C224B222C224C222C224D222C224E222C224F222C2250225D
